course_name,unit_name,lesson_name,video_file_path,original_url,m3u8_url,note_file_path,error
30 Day Beginner Challenge _ Guitar Club,Unit 4 - The Nitty Gritty,Major Chord Theory,./30 Day Beginner Challenge _ Guitar Club/Unit 4 - The Nitty Gritty/Major Chord Theory.mp4,https://www.guitarclub.io/courses/30-day-beginner-challenge/the-nitty-gritty/major-chord-theory,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiIyMTRmYjczODE2NWRkNjhlNmM4YzA3M2E4MTA3YjY5NSIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDA5NTMxLCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.cwAZfzDijtAfMmyKM7EN0q6lRnhJshafoXDOVQ_9sUkQeQEiQJpKhiEzOyRr32m-vgUV1BQcsXFtGx2UzLfOvi5pvR99PSQZ6jfO0VQfR9J0gbWB_s4MmWbJh78kOf1dqtljmJ4Qx3zi4uI3sfzbqT0T6TqivbQO-A21BP8jSGHJS92P6pp_eqDhNG-eWXnuVGnYxiuZhJI5YGtkJK81qAha1I4-KwrEIkuJG3zyAUNhdDb6xw---bx6ORzpvEWX2BsXsDgOzJWEDKQ-Ku40zEwIhtRH6oH0uUHuTga8bkPdYTd2A6Wu870Sg2OKg5Zfo643QLmd83IOAG4RHnZtRQ/manifest/video.m3u8,./30 Day Beginner Challenge _ Guitar Club/Unit 4 - The Nitty Gritty/Major Chord Theory lesson note.pdf,Download timed out after 300 seconds
30 Day Beginner Challenge _ Guitar Club,Unit 4 - The Nitty Gritty,Moving The Pentatonic,./30 Day Beginner Challenge _ Guitar Club/Unit 4 - The Nitty Gritty/Moving The Pentatonic.mp4,https://www.guitarclub.io/courses/30-day-beginner-challenge/the-nitty-gritty/moving-the-pentatonic,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiJiYzdjMDZlMGViOTBjZjI0YzBmODA4ODNmYWMwMGJjNiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDA5ODM5LCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.oQMtK6008Jy8tiMXnA2VpgI-DfM_kgpx9TwNukXUfe5YWoFKUa87vgke2gdrBlfYSdNoUDVIOgp7Sn8zLBem4F0ETDrt2AqILhLVz1-mjzpqWa5c_WnGU7u-ds_zaQ1FP1yLc1oG1Ks_l3YpWUkS--LGdFs3YKlZZM5Iie42F86iP3B4VzHCq-vQW7ZzUpg_TptpiK0wFsC1KBurhC8j1mpiT0xryUUqzQKixFUnmScyxTw6O0IH0WMXLiRHIgWt9XfdNeeIBzrXYzKcAkNxsO_eBh-sGwi18EIeqCpvU-E_cTJUXbljQzzSS_wDySre-34zsGMigLDZUGeGEyzbBw/manifest/video.m3u8,./30 Day Beginner Challenge _ Guitar Club/Unit 4 - The Nitty Gritty/Moving The Pentatonic lesson note.pdf,Download timed out after 300 seconds
30 Day Beginner Challenge _ Guitar Club,Unit 5 - Second Song,The Verse,./30 Day Beginner Challenge _ Guitar Club/Unit 5 - Second Song/The Verse.mp4,https://www.guitarclub.io/courses/30-day-beginner-challenge/second-song/the-verse-1,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiJkYzNmOWQ3NGI2ZmJiMGQzZGUwYmViMzhhYjlmZTRkNiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDEwMzc4LCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.Eh6wrph_4i-yhslc0VCPpHUNrb5PEi-6XdP05YtF8GbtWEd_SONdpy6hnzihP20YaCMgBFP4IA1a81MWYQ21PvSHpHE7XOEYu9BDkDTu561fe2bI740N9XkrH4z4cG9oT_DyFA59ZPd0_yqXk2a1TF1S011x08WiQk4MXVjI92j93CJegp738mzGbM0dg4q8eix8hzd6hmMVj2vwhxZjecrvHUrTCB7HvWJhDnR8eLC5ptLtPZLIFbPmLEpf-K2JZrMkRskkYuiLWd_Ia7hE13EKSbUnY0mb-oqYpBwRuPXNMVqK2N7ZatV2mBjvjFP6c1mH4JiIkPuIy5yRNr2zwA/manifest/video.m3u8,./30 Day Beginner Challenge _ Guitar Club/Unit 5 - Second Song/The Verse lesson note.pdf,Download timed out after 300 seconds
30 Day Beginner Challenge _ Guitar Club,Unit 5 - Second Song,The Solo,./30 Day Beginner Challenge _ Guitar Club/Unit 5 - Second Song/The Solo.mp4,https://www.guitarclub.io/courses/30-day-beginner-challenge/second-song/the-solo,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiI4ZGRhMDlkNWNjYjAxNGRlNTMzYzk5NDJkMDM1ZmZiOCIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDEwOTUzLCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.J61WrkPpkDDJeZW-sfRA8SsuAvkUECpC0r5PijyRwiCDUvHFXGYwKq1RTC4YcVfwZgYAoj8hEKJ0GX1v0-Mofv0uTq0BHHGNGEk8B04LOw1FkzhKrlfxR3BzpCtLPlMYbVSGQN-TDduBIVPBKTGwkNiTQaasAaId4OdeldzZNHRL3KOaIF1JLU9s01GsIZ7FQJ6jmxvkaERkKugchWt7UTgmPoHZWcw9-WQ1F8jqxSerbom0eocHeLFveFG2pAuqLDPNhyOui3kEUVQIprev4Q95f971fe17ZL2zt_AhHCNCFXyGx6tDEG6LdOoJo0DX-6bRUhVy2DrvKMAVGvPPXw/manifest/video.m3u8,./30 Day Beginner Challenge _ Guitar Club/Unit 5 - Second Song/The Solo lesson note.pdf,Download timed out after 300 seconds
30 Day Beginner Challenge _ Guitar Club,Unit 5 - Second Song,Putting It All Together,./30 Day Beginner Challenge _ Guitar Club/Unit 5 - Second Song/Putting It All Together.mp4,https://www.guitarclub.io/courses/30-day-beginner-challenge/second-song/putting-it-all-together,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiIwZjkzOTg4NTk4OWIxYWUzYjY1YzgyYjdlMmEyYjVhZSIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDExMjYxLCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.rK0HzI91ntIlPD_wVc9W4Ozg123GlZXN5V-I1rFjmCqTPCqIYGzrWEZlLeC1pGMsG4NMfhC-ovd4QKqLKRQSc3r3App5K5idun2wsIn7rTZyPDwR5NFNd9ovVB-HNl3BsADYGwEt-Ir7PREIyifq17y4d3yypE5RAd4z9Fy_-mKCRtrl3CC2aYt4Zh5r0vnbuFZZUGkrGHIJVTSlKOVpW0EV_y5fKRJqTggJy0mFCn1NALdVNSRzM0n2IBLCrZPlanZ4-_FMQo6ZN0QTM59GgwMMVWtD1bT73ymgN9RLsoTGnQB2P6RB_iLmxp83VP-0-RXpITkgjao_-wdJU9WU7A/manifest/video.m3u8,./30 Day Beginner Challenge _ Guitar Club/Unit 5 - Second Song/Putting It All Together lesson note.pdf,Download timed out after 300 seconds
30 Day Beginner Challenge _ Guitar Club,Unit 6 - Getting Ready,New Chords,./30 Day Beginner Challenge _ Guitar Club/Unit 6 - Getting Ready/New Chords.mp4,https://www.guitarclub.io/courses/30-day-beginner-challenge/getting-ready/new-chords,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiIyYThlYmE5NGQ1MTFlYzAzZjY0OGRhNDdmODRkMGYzMiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDExODYwLCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.FrLZ9IWQ61QVs_4FBRUfPdegshuCDPo8EvaZO3R_-ALFpmTSY2h7Tv6Ds4nXPEoXdwmxNMsBrMhSur7oolQB9Zoo1wJuzf5n8O7M9ZUhT4ycg-p99iRRwTyXDHjSD6SOMvA7HzxbVsT7JDFzAZscPRvdI1PUKv8xcvxstSXHbez-tjg_0A-M0IuTe1VQJbMDWng-jbFHWlt9Y6YZJ8SRc1cS-dNwtHvqVQ3mNiF58DERXu9goxuhb6jlapng9MINecsvW44Vz0WZcf--yO2GhBvVMc-XVZ7moGfiF-0UK_JiTblQa1ILrLNk0BgxL2gaHN5yaik8-dRf_vkyYVJvHw/manifest/video.m3u8,./30 Day Beginner Challenge _ Guitar Club/Unit 6 - Getting Ready/New Chords lesson note.pdf,Download timed out after 300 seconds
30 Day Beginner Challenge _ Guitar Club,Unit 6 - Getting Ready,Swung Vs Straight,./30 Day Beginner Challenge _ Guitar Club/Unit 6 - Getting Ready/Swung Vs Straight.mp4,https://www.guitarclub.io/courses/30-day-beginner-challenge/getting-ready/swung-vs-straight,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiJmMzIxMDNlZDZkYTQ0Y2M0NjMwODFhNTliYzQyNjM1MSIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDEyMTY4LCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.b25iWvr0VBYO9tnk4qwMRRD2yR3VKq5gC9DBzA-b7-MB5rlERrUe4Q677hRie8-9uniAnYlZ7go3l-eZpkxfBmb8aFjoC7i4C3Vv7AiNwu8xahqSEePwbrq7YzHPBSZW8e2ZiN1cRTb36j5lwhhQPHe6ldf9dDeYDDEewJLag6pcFz1JiEPFRHm1ZcRDZ5Fei04N7emhkUzneMhNlfSnyUQDEueA9QxHyPApSOBZKIwvgFLGlCE1eSYtpyz4e6_B-XCbryAkJAOF0yB24C7KnnsW9Nr4W7BpFjWQ9bbdbm4dztfCr7CUbLeoUHV_Be3dZkgJQ4ADYlQLwmKrsh_tMw/manifest/video.m3u8,./30 Day Beginner Challenge _ Guitar Club/Unit 6 - Getting Ready/Swung Vs Straight lesson note.pdf,Download timed out after 300 seconds
30 Day Beginner Challenge _ Guitar Club,Unit 6 - Getting Ready,Chord Challenge,./30 Day Beginner Challenge _ Guitar Club/Unit 6 - Getting Ready/Chord Challenge.mp4,https://www.guitarclub.io/courses/30-day-beginner-challenge/getting-ready/chord-challenge,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiJkOGM0ZTFmYTY5ZGE0YTU5NTdjYTU2YmQwMzE0NjRlMyIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDEyNDc2LCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.XzsjD4b7IsZyIJjfEvVRqWqQkVcGK_DGkgCFiU2fQX9CCA1Ew-PQ0Wsgx7LuPsNdaSyse521oUxH7dYNPjAi_MfZFXdbLGkyVPTNgQff34oqQ6SaIMNY6wEivnzWJk3U-hpioqDTRNxKUQob_zgiNwd6qvm6psl-18IkPZ6egSK9vB11_eAKWeskNUqCVmtzzzb_auzYeQi0rDA__dKAfQnP8UPuag_r7QfGh_I8OU9wn2oOMJC9vTVia4_VvtyC90sm0vlJm-zPTWmB8r6RdpcMNP7sqVswVzBamL4ycscgQnhemiQ6yHayn7E0EP-LcW-xE3OS6J_nuVn37DQakg/manifest/video.m3u8,./30 Day Beginner Challenge _ Guitar Club/Unit 6 - Getting Ready/Chord Challenge lesson note.pdf,Download timed out after 300 seconds
30 Day Beginner Challenge _ Guitar Club,Unit 6 - Getting Ready,Practice Routine,./30 Day Beginner Challenge _ Guitar Club/Unit 6 - Getting Ready/Practice Routine.mp4,https://www.guitarclub.io/courses/30-day-beginner-challenge/getting-ready/practice-routine,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiI5MTRkYzMwODUxZmVjODk5MjVlZmQ2ZjgzOGEwODg5NSIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDEyNzg0LCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.jVJMLZ_OvVskM6u1ZZqKfdADBmb5euQXZKC0e32lWouq0jDwRSgV0Jn10GqSM8kKtS_PU3LqDLc9w-axTjIItcHw-Y68yy0ZANVYQk8KFLWEEDoz8D87guxq86_Uw_sNzwnZwZc1y23T0A0SQe-i3pm-jzNLgq57924-iZdUBfpoAzi2cyqVt5ZUYU--MOGQhePkNKpeuIzCvn413ZHUEBp7o-GpTfiWlUtHRy8dKFOE2oVFuu61M4FxHS7CBe7jUxSgf_LH2Fh-cSH9pRH1HN0QY4I1-5XTkRyF0bCRO4EhDzEf42mmCIfku8r1uXvUsVIFDsgEPVUFLl9Ep1csow/manifest/video.m3u8,./30 Day Beginner Challenge _ Guitar Club/Unit 6 - Getting Ready/Practice Routine lesson note.pdf,Download timed out after 300 seconds
Acoustic Fingerstyle Level 1 _ Guitar Club,Unit 1 - 4_ 5 _ 6 Strings,4 String Chords,./Acoustic Fingerstyle Level 1 _ Guitar Club/Unit 1 - 4_ 5 _ 6 Strings/4 String Chords.mp4,https://www.guitarclub.io/courses/acoustic-fingerstyle-level-1/unit-1-4-5-and-6-strings/4-string-chords,https://customer-kqpudb4pzashaseu.cloudflarestream.com/eyJhbGciOiJSUzI1NiIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5In0.eyJzdWIiOiI5NWM1NWVjMzA0NjUzZTE3NDk0NGNjZDJlMGJjZjcxYSIsImtpZCI6IjA5ZmM5NjJlMzI3MzZmMDNjZWI1N2QzMzdjMTM5ZjQ5IiwiZXhwIjoxNzQ4NDMzMTMyLCJkb3dubG9hZGFibGUiOmZhbHNlLCJhY2Nlc3NSdWxlcyI6W3sidHlwZSI6ImFueSIsImFjdGlvbiI6ImFsbG93In1dfQ.nWxZaAkwdz87AjpTistm0ICGn40qaZW6DvO-yG_VHhmn-q2tJ64pE7b6zwoKIGTQHPxP8qghbkkvtb-7Za3BZ5WzpTq1rbF1uy2iRiJhsMTT7j6RTZPJ6P2slrGEd6KGKNsFy4jJKtO2GfSZdYyBlUBvQRryZOf9aHe4aKeJOU_HUvabai1wE4dHg96rbPUe8FfbcOrxyf_scY-IDG8_RggZGeMpCnVo7JbAnwhR3FvZGxzZqZwRaMvl4aKbZ5wYYDPs8wWJr6lQ61TLMkH4C67mypHxiYRwvhnFdgJavmh8B0_L7LAgmXzeI-iXbytX0ewRy7lhdg66YC5el-df6A/manifest/video.m3u8,./Acoustic Fingerstyle Level 1 _ Guitar Club/Unit 1 - 4_ 5 _ 6 Strings/4 String Chords lesson note.pdf,Download timed out after 300 seconds
